"","uniqueid","island","site","transect","top_color","bowl_color","order","count","dateout","datecoll","duration","order_abbrev"
"1","Saipan_MTRL_L3","saipan","mtrl","L3","w","w","lepidoptera",99,2018-01-17,2018-01-20,3,"lpdpt"
"2","Saipan_MTRL_L3","saipan","mtrl","L3","w","b","lepidoptera",94,2018-01-17,2018-01-20,3,"lpdpt"
"3","Saipan_MTRL_L3","saipan","mtrl","L3","w","y","lepidoptera",91,2018-01-17,2018-01-20,3,"lpdpt"
"4","Saipan_MTRL_L3","saipan","mtrl","L3","w","r","lepidoptera",84,2018-01-17,2018-01-20,3,"lpdpt"
"5","Saipan_MTRL_L3","saipan","mtrl","L3","y","r","lepidoptera",60,2018-01-17,2018-01-20,3,"lpdpt"
"6","Saipan_ForbiGrid_L1","saipan","forbig","L1","b","y","hemiptera",53,2018-01-17,2018-01-20,3,"hmptr"
"7","Saipan_ForbiGrid_L1","saipan","forbig","L1","y","y","hemiptera",52,2018-01-17,2018-01-20,3,"hmptr"
"8","Saipan_MTRL_L3","saipan","mtrl","L3","r","r","lepidoptera",41,2018-01-17,2018-01-20,3,"lpdpt"
"9","Saipan_MTRL_L3","saipan","mtrl","L3","y","y","lepidoptera",39,2018-01-17,2018-01-20,3,"lpdpt"
"10","Saipan_MTRL_L3","saipan","mtrl","L3","r","w","lepidoptera",29,2018-01-17,2018-01-20,3,"lpdpt"
"11","Saipan_MTRL_L3","saipan","mtrl","L3","r","y","lepidoptera",24,2018-01-17,2018-01-20,3,"lpdpt"
"12","Saipan_ForbiGrid_L1","saipan","forbig","L1","b","r","hemiptera",23,2018-01-17,2018-01-20,3,"hmptr"
"13","Saipan_ForbiGrid_L3","saipan","forbig","L3","y","y","lepidoptera",23,2018-01-17,2018-01-20,3,"lpdpt"
"14","Saipan_ForbiGrid_L3","saipan","forbig","L3","b","b","lepidoptera",23,2018-01-17,2018-01-20,3,"lpdpt"
"15","Saipan_MTRL_L3","saipan","mtrl","L3","b","y","lepidoptera",23,2018-01-17,2018-01-20,3,"lpdpt"
"16","Saipan_ForbiGrid_L1","saipan","forbig","L1","b","b","hemiptera",22,2018-01-17,2018-01-20,3,"hmptr"
"17","Saipan_ForbiGrid_L3","saipan","forbig","L3","w","y","lepidoptera",21,2018-01-17,2018-01-20,3,"lpdpt"
"18","Saipan_MTRL_L3","saipan","mtrl","L3","b","b","lepidoptera",21,2018-01-17,2018-01-20,3,"lpdpt"
"19","Saipan_ForbiGrid_L1","saipan","forbig","L1","y","y","apoidea",20,2018-01-17,2018-01-20,3,"apoid"
"20","Saipan_Ladtg_L3","saipan","ladtg","L3","r","y","apoidea",20,NA,NA,NA,"apoid"
"21","Saipan_MTRL_L3","saipan","mtrl","L3","b","r","lepidoptera",20,2018-01-17,2018-01-20,3,"lpdpt"
"22","Saipan_LADTA_L2","saipan","ladta","L2","y","y","diptera",18,2018-01-17,2018-01-20,3,"diptr"
"23","Saipan_LADTA_L2","saipan","ladta","L2","r","w","coleoptera",18,2018-01-17,2018-01-20,3,"clptr"
"24","Guam_Racetrack_L3","guam","race","L3","b","y","formicidae",17,2018-01-12,2018-01-15,3,"frmcd"
"25","Saipan_ForbiGrid_L1","saipan","forbig","L1","b","y","diptera",17,2018-01-17,2018-01-20,3,"diptr"
"26","Guam_Racetrack_L2","guam","race","L2","y","y","diptera",16,2018-01-12,2018-01-15,3,"diptr"
"27","Saipan_ForbiGrid_L1","saipan","forbig","L1","b","w","diptera",16,2018-01-17,2018-01-20,3,"diptr"
"28","Saipan_ForbiGrid_L3","saipan","forbig","L3","r","r","lepidoptera",16,2018-01-17,2018-01-20,3,"lpdpt"
"29","Saipan_LADTA_L1","saipan","ladta","L1","y","w","diptera",16,2018-01-17,2018-01-20,3,"diptr"
"30","Saipan_Ladtg_L1","saipan","ladtg","L1","r","w","diptera",16,NA,NA,NA,"diptr"
"31","Saipan_MTRL_L3","saipan","mtrl","L3","r","b","lepidoptera",16,2018-01-17,2018-01-20,3,"lpdpt"
"32","Guam_Nblas_L2","guam","nblas","L2","r","w","formicidae",15,2018-01-12,2018-01-15,3,"frmcd"
"33","Guam_Sblas_L1","guam","sblas","L1","w","r","formicidae",15,2018-01-12,2018-01-15,3,"frmcd"
"34","Saipan_ForbiA_L2","saipan","forbia","L2","b","y","diptera",15,2018-01-17,2018-01-20,3,"diptr"
"35","Saipan_Ladtg_L3","saipan","ladtg","L3","r","w","diptera",15,NA,NA,NA,"diptr"
"36","Saipan_Ladtg_L3","saipan","ladtg","L3","y","w","lepidoptera",15,NA,NA,NA,"lpdpt"
"37","Guam_Riti_L3","guam","riti","L3","w","r","isoptera",14,2018-01-12,2018-01-15,3,"isptr"
"38","Saipan_ForbiGrid_L3","saipan","forbig","L3","r","y","lepidoptera",14,2018-01-17,2018-01-20,3,"lpdpt"
"39","Saipan_LADTA_L2","saipan","ladta","L2","r","y","apoidea",14,2018-01-17,2018-01-20,3,"apoid"
"40","Saipan_Ladtg_L3","saipan","ladtg","L3","r","y","lepidoptera",14,NA,NA,NA,"lpdpt"
"41","Saipan_MTRL_L3","saipan","mtrl","L3","y","w","lepidoptera",14,2018-01-17,2018-01-20,3,"lpdpt"
"42","Saipan_ForbiGrid_L1","saipan","forbig","L1","w","y","diptera",13,2018-01-17,2018-01-20,3,"diptr"
"43","Saipan_ForbiGrid_L2","saipan","forbig","L2","y","r","apoidea",13,2018-01-17,2018-01-20,3,"apoid"
"44","Saipan_ForbiGrid_L3","saipan","forbig","L3","w","y","diptera",13,2018-01-17,2018-01-20,3,"diptr"
"45","Saipan_Ladtg_L3","saipan","ladtg","L3","w","r","lepidoptera",13,NA,NA,NA,"lpdpt"
"46","Saipan_MTRL_L3","saipan","mtrl","L3","y","b","lepidoptera",13,2018-01-17,2018-01-20,3,"lpdpt"
"47","Guam_Nblas_L2","guam","nblas","L2","r","b","formicidae",12,2018-01-12,2018-01-15,3,"frmcd"
"48","Saipan_ForbiGrid_L2","saipan","forbig","L2","y","r","diptera",12,2018-01-17,2018-01-20,3,"diptr"
"49","Saipan_MTRL_L1","saipan","mtrl","L1","w","w","diptera",12,2018-01-17,2018-01-20,3,"diptr"
"50","Saipan_MTRL_L1","saipan","mtrl","L1","b","w","diptera",12,2018-01-17,2018-01-20,3,"diptr"
"51","Guam_Riti_L3","guam","riti","L3","w","b","isoptera",11,2018-01-12,2018-01-15,3,"isptr"
"52","Saipan_ForbiA_L3","saipan","forbia","L3","b","w","crabronidae",11,2018-01-17,2018-01-20,3,"crbrn"
"53","Saipan_ForbiGrid_L1","saipan","forbig","L1","y","w","diptera",11,2018-01-17,2018-01-20,3,"diptr"
"54","Saipan_ForbiGrid_L1","saipan","forbig","L1","b","w","hemiptera",11,2018-01-17,2018-01-20,3,"hmptr"
"55","Saipan_ForbiGrid_L2","saipan","forbig","L2","y","w","apoidea",11,2018-01-17,2018-01-20,3,"apoid"
"56","Saipan_ForbiGrid_L3","saipan","forbig","L3","b","y","lepidoptera",11,2018-01-17,2018-01-20,3,"lpdpt"
"57","Saipan_ForbiGrid_L3","saipan","forbig","L3","y","b","lepidoptera",11,2018-01-17,2018-01-20,3,"lpdpt"
"58","Saipan_LADTA_L2","saipan","ladta","L2","r","w","diptera",11,2018-01-17,2018-01-20,3,"diptr"
"59","Saipan_MTRL_L1","saipan","mtrl","L1","y","y","diptera",11,2018-01-17,2018-01-20,3,"diptr"
"60","Saipan_MTRL_L2","saipan","mtrl","L2","b","b","lepidoptera",11,2018-01-17,2018-01-20,3,"lpdpt"
"61","Saipan_ForbiGrid_L1","saipan","forbig","L1","y","b","hemiptera",10,2018-01-17,2018-01-20,3,"hmptr"
"62","Saipan_LADTA_L2","saipan","ladta","L2","b","w","diptera",10,2018-01-17,2018-01-20,3,"diptr"
"63","Saipan_Ladtg_L3","saipan","ladtg","L3","b","w","diptera",10,NA,NA,NA,"diptr"
"64","Saipan_Ladtg_L3","saipan","ladtg","L3","b","r","lepidoptera",10,NA,NA,NA,"lpdpt"
"65","Saipan_Ladtg_L3","saipan","ladtg","L3","y","y","diptera",10,NA,NA,NA,"diptr"
"66","Saipan_MTRL_L2","saipan","mtrl","L2","b","y","lepidoptera",10,2018-01-17,2018-01-20,3,"lpdpt"
"67","Guam_Anao_L2","guam","anao","L2","b","b","formicidae",9,2018-01-12,2018-01-15,3,"frmcd"
"68","Saipan_ForbiGrid_L1","saipan","forbig","L1","y","y","trichoptera",9,2018-01-17,2018-01-20,3,"trchp"
"69","Saipan_ForbiGrid_L2","saipan","forbig","L2","w","b","crabronidae",9,2018-01-17,2018-01-20,3,"crbrn"
"70","Saipan_ForbiGrid_L3","saipan","forbig","L3","b","w","diptera",9,2018-01-17,2018-01-20,3,"diptr"
"71","Saipan_LADTA_L1","saipan","ladta","L1","r","b","lepidoptera",9,2018-01-17,2018-01-20,3,"lpdpt"
"72","Saipan_LADTA_L2","saipan","ladta","L2","w","y","lepidoptera",9,2018-01-17,2018-01-20,3,"lpdpt"
"73","Saipan_Ladtg_L3","saipan","ladtg","L3","b","w","apoidea",9,NA,NA,NA,"apoid"
"74","Saipan_Ladtg_L3","saipan","ladtg","L3","y","r","lepidoptera",9,NA,NA,NA,"lpdpt"
"75","Saipan_Ladtg_L3","saipan","ladtg","L3","y","w","diptera",9,NA,NA,NA,"diptr"
"76","Saipan_MTRL_L1","saipan","mtrl","L1","b","y","diptera",9,2018-01-17,2018-01-20,3,"diptr"
"77","Saipan_ForbiA_L3","saipan","forbia","L3","b","y","diptera",8,2018-01-17,2018-01-20,3,"diptr"
"78","Saipan_ForbiGrid_L1","saipan","forbig","L1","r","w","diptera",8,2018-01-17,2018-01-20,3,"diptr"
"79","Saipan_ForbiGrid_L1","saipan","forbig","L1","r","w","lepidoptera",8,2018-01-17,2018-01-20,3,"lpdpt"
"80","Saipan_ForbiGrid_L1","saipan","forbig","L1","b","r","diptera",8,2018-01-17,2018-01-20,3,"diptr"
"81","Saipan_LADTA_L2","saipan","ladta","L2","y","y","crabronidae",8,2018-01-17,2018-01-20,3,"crbrn"
"82","Saipan_Ladtg_L1","saipan","ladtg","L1","b","y","diptera",8,NA,NA,NA,"diptr"
"83","Saipan_Ladtg_L3","saipan","ladtg","L3","r","b","diptera",8,NA,NA,NA,"diptr"
"84","Saipan_Ladtg_L3","saipan","ladtg","L3","b","r","apoidea",8,NA,NA,NA,"apoid"
"85","Saipan_Ladtg_L3","saipan","ladtg","L3","w","w","apoidea",8,NA,NA,NA,"apoid"
"86","Guam_Nblas_L3","guam","nblas","L3","w","b","formicidae",7,2018-01-12,2018-01-15,3,"frmcd"
"87","Guam_Racetrack_L2","guam","race","L2","w","w","diptera",7,2018-01-12,2018-01-15,3,"diptr"
"88","Saipan_ForbiA_L2","saipan","forbia","L2","y","y","diptera",7,2018-01-17,2018-01-20,3,"diptr"
"89","Saipan_ForbiA_L2","saipan","forbia","L2","y","w","diptera",7,2018-01-17,2018-01-20,3,"diptr"
"90","Saipan_ForbiA_L2","saipan","forbia","L2","w","r","lepidoptera",7,2018-01-17,2018-01-20,3,"lpdpt"
"91","Saipan_ForbiA_L3","saipan","forbia","L3","b","w","diptera",7,2018-01-17,2018-01-20,3,"diptr"
"92","Saipan_ForbiGrid_L1","saipan","forbig","L1","y","b","trichoptera",7,2018-01-17,2018-01-20,3,"trchp"
"93","Saipan_ForbiGrid_L1","saipan","forbig","L1","y","y","diptera",7,2018-01-17,2018-01-20,3,"diptr"
"94","Saipan_ForbiGrid_L2","saipan","forbig","L2","y","y","lepidoptera",7,2018-01-17,2018-01-20,3,"lpdpt"
"95","Saipan_ForbiGrid_L3","saipan","forbig","L3","w","b","diptera",7,2018-01-17,2018-01-20,3,"diptr"
"96","Saipan_ForbiGrid_L3","saipan","forbig","L3","r","y","crabronidae",7,2018-01-17,2018-01-20,3,"crbrn"
"97","Saipan_LADTA_L2","saipan","ladta","L2","y","w","diptera",7,2018-01-17,2018-01-20,3,"diptr"
"98","Saipan_LADTA_L2","saipan","ladta","L2","y","w","crabronidae",7,2018-01-17,2018-01-20,3,"crbrn"
"99","Saipan_LADTA_L2","saipan","ladta","L2","w","w","diptera",7,2018-01-17,2018-01-20,3,"diptr"
"100","Saipan_LADTA_L2","saipan","ladta","L2","r","w","apoidea",7,2018-01-17,2018-01-20,3,"apoid"
"101","Saipan_Ladtg_L3","saipan","ladtg","L3","r","w","coleoptera",7,NA,NA,NA,"clptr"
"102","Saipan_Ladtg_L3","saipan","ladtg","L3","b","b","lepidoptera",7,NA,NA,NA,"lpdpt"
"103","Saipan_Ladtg_L3","saipan","ladtg","L3","y","y","lepidoptera",7,NA,NA,NA,"lpdpt"
"104","Saipan_Ladtg_L3","saipan","ladtg","L3","y","b","lepidoptera",7,NA,NA,NA,"lpdpt"
"105","Saipan_MTRL_L1","saipan","mtrl","L1","b","b","diptera",7,2018-01-17,2018-01-20,3,"diptr"
"106","Saipan_MTRL_L2","saipan","mtrl","L2","y","w","lepidoptera",7,2018-01-17,2018-01-20,3,"lpdpt"
"107","Saipan_MTRL_L2","saipan","mtrl","L2","y","b","lepidoptera",7,2018-01-17,2018-01-20,3,"lpdpt"
"108","Guam_Anao_L1","guam","anao","L1","y","w","formicidae",6,2018-01-12,2018-01-15,3,"frmcd"
"109","Guam_Anao_L1","guam","anao","L1","r","r","diptera",6,2018-01-12,2018-01-15,3,"diptr"
"110","Guam_Nblas_L2","guam","nblas","L2","r","r","formicidae",6,2018-01-12,2018-01-15,3,"frmcd"
"111","Guam_Racetrack_L1","guam","race","L1","b","r","formicidae",6,2018-01-12,2018-01-15,3,"frmcd"
"112","Guam_Racetrack_L2","guam","race","L2","y","r","formicidae",6,2018-01-12,2018-01-15,3,"frmcd"
"113","Guam_Racetrack_L2","guam","race","L2","w","y","diptera",6,2018-01-12,2018-01-15,3,"diptr"
"114","Saipan_ForbiA_L1","saipan","forbia","L1","b","y","diptera",6,2018-01-17,2018-01-20,3,"diptr"
"115","Saipan_ForbiA_L1","saipan","forbia","L1","w","w","diptera",6,2018-01-17,2018-01-20,3,"diptr"
"116","Saipan_ForbiA_L2","saipan","forbia","L2","r","y","diptera",6,2018-01-17,2018-01-20,3,"diptr"
"117","Saipan_ForbiA_L2","saipan","forbia","L2","r","y","lepidoptera",6,2018-01-17,2018-01-20,3,"lpdpt"
"118","Saipan_ForbiA_L2","saipan","forbia","L2","r","b","lepidoptera",6,2018-01-17,2018-01-20,3,"lpdpt"
"119","Saipan_ForbiA_L2","saipan","forbia","L2","r","w","diptera",6,2018-01-17,2018-01-20,3,"diptr"
