"","uniqueid","island","site","transect","top_color","bowl_color","order","count","date traps out","date traps coll"
"1","Guam_Anao_L1","Guam","Anao","L1","b","y","diptera",0,2018-01-12,2018-01-15
"2","Guam_Anao_L1","Guam","Anao","L1","b","y","hemiptera",0,2018-01-12,2018-01-15
"3","Guam_Anao_L1","Guam","Anao","L1","b","y","coleoptera",1,2018-01-12,2018-01-15
"4","Guam_Anao_L1","Guam","Anao","L1","b","y","formicidae",0,2018-01-12,2018-01-15
"5","Guam_Anao_L1","Guam","Anao","L1","b","y","apoidea",0,2018-01-12,2018-01-15
"6","Guam_Anao_L1","Guam","Anao","L1","b","y","crabronidae",0,2018-01-12,2018-01-15
"7","Guam_Anao_L1","Guam","Anao","L1","b","y","lepidoptera",0,2018-01-12,2018-01-15
"8","Guam_Anao_L1","Guam","Anao","L1","b","y","blattodea",0,2018-01-12,2018-01-15
"9","Guam_Anao_L1","Guam","Anao","L1","b","y","araneae",0,2018-01-12,2018-01-15
"10","Guam_Anao_L1","Guam","Anao","L1","b","y","isoptera",0,2018-01-12,2018-01-15
"11","Guam_Anao_L1","Guam","Anao","L1","b","y","partial",0,2018-01-12,2018-01-15
"12","Guam_Anao_L1","Guam","Anao","L1","b","y","trichoptera",0,2018-01-12,2018-01-15
"13","Guam_Anao_L1","Guam","Anao","L1","b","y","other",0,2018-01-12,2018-01-15
"14","Guam_Anao_L1","Guam","Anao","L1","y","w","diptera",1,2018-01-12,2018-01-15
"15","Guam_Anao_L1","Guam","Anao","L1","y","w","hemiptera",0,2018-01-12,2018-01-15
"16","Guam_Anao_L1","Guam","Anao","L1","y","w","coleoptera",0,2018-01-12,2018-01-15
"17","Guam_Anao_L1","Guam","Anao","L1","y","w","formicidae",6,2018-01-12,2018-01-15
"18","Guam_Anao_L1","Guam","Anao","L1","y","w","apoidea",0,2018-01-12,2018-01-15
"19","Guam_Anao_L1","Guam","Anao","L1","y","w","crabronidae",1,2018-01-12,2018-01-15
"20","Guam_Anao_L1","Guam","Anao","L1","y","w","lepidoptera",0,2018-01-12,2018-01-15
